Starbucks,1912 Pike Pl
Starbucks Coffee Works,107 Pike St
Barnes & Noble,"600 Pine St, #107"
The Roosevelt Hotel,1531 7th Ave
Grand Hyatt Seattle,721 Pine St
Six Arms,300 E Pike St
Bauhaus Books & Coffee,301 E Pine St
Starbucks,1125 4th Ave
Seattle Ferry Terminal ,801 Alaskan Way
Seattle Public Library,1000 4th Ave
Renaissance Seattle Hotel,515 Madison St
Caffe Vita,1005 E Pike St
Caffe Umbria,320 Occidental Ave. S
Café Presse,1117 12th Ave
Skillet Diner,1400 E Union St
Zoka Coffee,129 Central Way
Apple Store,213 Bellevue Sq
Hyatt Regency Bellevue,900 Bellevue Way NE
Café Cesura,1015 108th Ave NE
Pro Sports Club,4455 148th Ave NE
Panera Bread,4004 Factoria Blvd SE
Seattle- Tacoma International Airport,17801 International Blvd
Hilton Seattle Aitport & Conference Center,17620 Ibternational Blvd
United Club,"Concourse A, near Gate 9"
Tully's Coffee ,"3080 148th Ave SE, #113"
Starbucks,3181 156th Ave
DoubleTree by Hilton Seattle Airport,18740 International Blvd
Embassy Suits,3225 158th Ave SE
Hampton Inn,19445 International Blvd
Nordstorm,100 Southcenter Shopping
Fairfield Inn Seattle Sea-Tac Airport,19631 International Blvd
Westfield Southcenter,2800 Southcenter Mall
Panera Bread,"921 N 10th St, Ste E"
Vince's Coffee Shop,"401 Olympia Ave NE, #102"
Starbucks,14022 SE Petrovitsky Rd
